[Seed 4] Epoch 001 | Train Loss: 2.1059 | Val Loss: 1.9821 | Val AUPRC: 0.0306 | Val ROC-AUC: 0.7260
[Seed 4] Epoch 002 | Train Loss: 1.9805 | Val Loss: 1.9147 | Val AUPRC: 0.0325 | Val ROC-AUC: 0.7372
[Seed 4] Epoch 003 | Train Loss: 1.9521 | Val Loss: 1.9077 | Val AUPRC: 0.0327 | Val ROC-AUC: 0.7378
[Seed 4] Epoch 004 | Train Loss: 1.9431 | Val Loss: 1.9000 | Val AUPRC: 0.0330 | Val ROC-AUC: 0.7401
[Seed 4] Epoch 005 | Train Loss: 1.9350 | Val Loss: 1.8972 | Val AUPRC: 0.0335 | Val ROC-AUC: 0.7412
[Seed 4] Epoch 006 | Train Loss: 1.9361 | Val Loss: 1.8966 | Val AUPRC: 0.0336 | Val ROC-AUC: 0.7426
[Seed 4] Epoch 007 | Train Loss: 1.9262 | Val Loss: 1.8918 | Val AUPRC: 0.0335 | Val ROC-AUC: 0.7427
[Seed 4] Epoch 008 | Train Loss: 1.9260 | Val Loss: 1.8907 | Val AUPRC: 0.0336 | Val ROC-AUC: 0.7439
[Seed 4] Epoch 009 | Train Loss: 1.9150 | Val Loss: 1.8868 | Val AUPRC: 0.0337 | Val ROC-AUC: 0.7449
[Seed 4] Epoch 010 | Train Loss: 1.9187 | Val Loss: 1.8870 | Val AUPRC: 0.0338 | Val ROC-AUC: 0.7454
[Seed 4] Epoch 011 | Train Loss: 1.9126 | Val Loss: 1.8823 | Val AUPRC: 0.0338 | Val ROC-AUC: 0.7456
[Seed 4] Epoch 012 | Train Loss: 1.9134 | Val Loss: 1.8817 | Val AUPRC: 0.0340 | Val ROC-AUC: 0.7465
[Seed 4] Epoch 013 | Train Loss: 1.9110 | Val Loss: 1.8806 | Val AUPRC: 0.0339 | Val ROC-AUC: 0.7463
[Seed 4] Epoch 014 | Train Loss: 1.9085 | Val Loss: 1.8763 | Val AUPRC: 0.0342 | Val ROC-AUC: 0.7474
[Seed 4] Epoch 015 | Train Loss: 1.9083 | Val Loss: 1.8762 | Val AUPRC: 0.0343 | Val ROC-AUC: 0.7481
[Seed 4] Epoch 016 | Train Loss: 1.9035 | Val Loss: 1.8765 | Val AUPRC: 0.0342 | Val ROC-AUC: 0.7481
[Seed 4] Epoch 017 | Train Loss: 1.9051 | Val Loss: 1.8781 | Val AUPRC: 0.0345 | Val ROC-AUC: 0.7487
[Seed 4] Epoch 018 | Train Loss: 1.9039 | Val Loss: 1.8733 | Val AUPRC: 0.0344 | Val ROC-AUC: 0.7486
[Seed 4] Epoch 019 | Train Loss: 1.8963 | Val Loss: 1.8726 | Val AUPRC: 0.0345 | Val ROC-AUC: 0.7493
[Seed 4] Epoch 020 | Train Loss: 1.8975 | Val Loss: 1.8714 | Val AUPRC: 0.0346 | Val ROC-AUC: 0.7491
