[Seed 1] Epoch 001 | Train Loss: 2.0986 | Val Loss: 1.9344 | Val AUPRC: 0.0296 | Val ROC-AUC: 0.7288
[Seed 1] Epoch 002 | Train Loss: 1.9398 | Val Loss: 1.9110 | Val AUPRC: 0.0316 | Val ROC-AUC: 0.7362
[Seed 1] Epoch 003 | Train Loss: 1.9194 | Val Loss: 1.8987 | Val AUPRC: 0.0332 | Val ROC-AUC: 0.7411
[Seed 1] Epoch 004 | Train Loss: 1.9088 | Val Loss: 1.9004 | Val AUPRC: 0.0336 | Val ROC-AUC: 0.7424
[Seed 1] Epoch 005 | Train Loss: 1.9057 | Val Loss: 1.8910 | Val AUPRC: 0.0342 | Val ROC-AUC: 0.7456
[Seed 1] Epoch 006 | Train Loss: 1.8995 | Val Loss: 1.8855 | Val AUPRC: 0.0343 | Val ROC-AUC: 0.7464
[Seed 1] Epoch 007 | Train Loss: 1.8935 | Val Loss: 1.8855 | Val AUPRC: 0.0342 | Val ROC-AUC: 0.7466
[Seed 1] Epoch 008 | Train Loss: 1.8912 | Val Loss: 1.8818 | Val AUPRC: 0.0344 | Val ROC-AUC: 0.7479
[Seed 1] Epoch 009 | Train Loss: 1.8949 | Val Loss: 1.8791 | Val AUPRC: 0.0345 | Val ROC-AUC: 0.7482
[Seed 1] Epoch 010 | Train Loss: 1.8889 | Val Loss: 1.8769 | Val AUPRC: 0.0347 | Val ROC-AUC: 0.7490
[Seed 1] Epoch 011 | Train Loss: 1.8814 | Val Loss: 1.8752 | Val AUPRC: 0.0349 | Val ROC-AUC: 0.7496
[Seed 1] Epoch 012 | Train Loss: 1.8852 | Val Loss: 1.8753 | Val AUPRC: 0.0350 | Val ROC-AUC: 0.7504
[Seed 1] Epoch 013 | Train Loss: 1.8812 | Val Loss: 1.8759 | Val AUPRC: 0.0351 | Val ROC-AUC: 0.7505
[Seed 1] Epoch 014 | Train Loss: 1.8782 | Val Loss: 1.8708 | Val AUPRC: 0.0351 | Val ROC-AUC: 0.7508
[Seed 1] Epoch 015 | Train Loss: 1.8794 | Val Loss: 1.8701 | Val AUPRC: 0.0351 | Val ROC-AUC: 0.7509
[Seed 1] Epoch 016 | Train Loss: 1.8764 | Val Loss: 1.8697 | Val AUPRC: 0.0353 | Val ROC-AUC: 0.7518
[Seed 1] Epoch 017 | Train Loss: 1.8754 | Val Loss: 1.8702 | Val AUPRC: 0.0352 | Val ROC-AUC: 0.7517
[Seed 1] Epoch 018 | Train Loss: 1.8814 | Val Loss: 1.8656 | Val AUPRC: 0.0352 | Val ROC-AUC: 0.7520
[Seed 1] Epoch 019 | Train Loss: 1.8713 | Val Loss: 1.8668 | Val AUPRC: 0.0352 | Val ROC-AUC: 0.7519
[Seed 1] Epoch 020 | Train Loss: 1.8712 | Val Loss: 1.8675 | Val AUPRC: 0.0353 | Val ROC-AUC: 0.7523
