[Seed 1] Epoch 001 | Train Loss: 1.9909 | Val Loss: 1.9143 | Val AUPRC: 0.0307 | Val ROC-AUC: 0.7368
[Seed 1] Epoch 002 | Train Loss: 1.9132 | Val Loss: 1.9016 | Val AUPRC: 0.0322 | Val ROC-AUC: 0.7394
[Seed 1] Epoch 003 | Train Loss: 1.9035 | Val Loss: 1.8925 | Val AUPRC: 0.0329 | Val ROC-AUC: 0.7430
[Seed 1] Epoch 004 | Train Loss: 1.8916 | Val Loss: 1.8885 | Val AUPRC: 0.0331 | Val ROC-AUC: 0.7445
[Seed 1] Epoch 005 | Train Loss: 1.8879 | Val Loss: 1.8859 | Val AUPRC: 0.0329 | Val ROC-AUC: 0.7444
[Seed 1] Epoch 006 | Train Loss: 1.8826 | Val Loss: 1.8851 | Val AUPRC: 0.0328 | Val ROC-AUC: 0.7452
[Seed 1] Epoch 007 | Train Loss: 1.8757 | Val Loss: 1.8803 | Val AUPRC: 0.0332 | Val ROC-AUC: 0.7460
[Seed 1] Epoch 008 | Train Loss: 1.8728 | Val Loss: 1.8822 | Val AUPRC: 0.0333 | Val ROC-AUC: 0.7464
[Seed 1] Epoch 009 | Train Loss: 1.8705 | Val Loss: 1.8808 | Val AUPRC: 0.0327 | Val ROC-AUC: 0.7446
[Seed 1] Epoch 010 | Train Loss: 1.8678 | Val Loss: 1.8786 | Val AUPRC: 0.0331 | Val ROC-AUC: 0.7463
[Seed 1] Epoch 011 | Train Loss: 1.8658 | Val Loss: 1.8800 | Val AUPRC: 0.0333 | Val ROC-AUC: 0.7470
[Seed 1] Epoch 012 | Train Loss: 1.8651 | Val Loss: 1.8742 | Val AUPRC: 0.0334 | Val ROC-AUC: 0.7473
[Seed 1] Epoch 013 | Train Loss: 1.8626 | Val Loss: 1.8739 | Val AUPRC: 0.0331 | Val ROC-AUC: 0.7473
[Seed 1] Epoch 014 | Train Loss: 1.8574 | Val Loss: 1.8740 | Val AUPRC: 0.0333 | Val ROC-AUC: 0.7468
[Seed 1] Epoch 015 | Train Loss: 1.8632 | Val Loss: 1.8732 | Val AUPRC: 0.0333 | Val ROC-AUC: 0.7472
[Seed 1] Epoch 016 | Train Loss: 1.8571 | Val Loss: 1.8737 | Val AUPRC: 0.0335 | Val ROC-AUC: 0.7474
[Seed 1] Epoch 017 | Train Loss: 1.8507 | Val Loss: 1.8721 | Val AUPRC: 0.0337 | Val ROC-AUC: 0.7478
[Seed 1] Epoch 018 | Train Loss: 1.8559 | Val Loss: 1.8799 | Val AUPRC: 0.0336 | Val ROC-AUC: 0.7478
[Seed 1] Epoch 019 | Train Loss: 1.8521 | Val Loss: 1.8711 | Val AUPRC: 0.0336 | Val ROC-AUC: 0.7481
[Seed 1] Epoch 020 | Train Loss: 1.8537 | Val Loss: 1.8731 | Val AUPRC: 0.0335 | Val ROC-AUC: 0.7475
