[Seed 5] Epoch 001 | Train Loss: 2.0441 | Val Loss: 1.9206 | Val AUPRC: 0.0301 | Val ROC-AUC: 0.7305
[Seed 5] Epoch 002 | Train Loss: 1.9374 | Val Loss: 1.9065 | Val AUPRC: 0.0315 | Val ROC-AUC: 0.7368
[Seed 5] Epoch 003 | Train Loss: 1.9076 | Val Loss: 1.8974 | Val AUPRC: 0.0323 | Val ROC-AUC: 0.7402
[Seed 5] Epoch 004 | Train Loss: 1.8958 | Val Loss: 1.8921 | Val AUPRC: 0.0327 | Val ROC-AUC: 0.7423
[Seed 5] Epoch 005 | Train Loss: 1.8903 | Val Loss: 1.8897 | Val AUPRC: 0.0334 | Val ROC-AUC: 0.7443
[Seed 5] Epoch 006 | Train Loss: 1.8812 | Val Loss: 1.8828 | Val AUPRC: 0.0335 | Val ROC-AUC: 0.7455
[Seed 5] Epoch 007 | Train Loss: 1.8775 | Val Loss: 1.8818 | Val AUPRC: 0.0335 | Val ROC-AUC: 0.7452
[Seed 5] Epoch 008 | Train Loss: 1.8773 | Val Loss: 1.8796 | Val AUPRC: 0.0338 | Val ROC-AUC: 0.7471
[Seed 5] Epoch 009 | Train Loss: 1.8721 | Val Loss: 1.8781 | Val AUPRC: 0.0336 | Val ROC-AUC: 0.7469
[Seed 5] Epoch 010 | Train Loss: 1.8668 | Val Loss: 1.8756 | Val AUPRC: 0.0339 | Val ROC-AUC: 0.7469
[Seed 5] Epoch 011 | Train Loss: 1.8687 | Val Loss: 1.8706 | Val AUPRC: 0.0341 | Val ROC-AUC: 0.7492
[Seed 5] Epoch 012 | Train Loss: 1.8586 | Val Loss: 1.8692 | Val AUPRC: 0.0345 | Val ROC-AUC: 0.7498
[Seed 5] Epoch 013 | Train Loss: 1.8593 | Val Loss: 1.8839 | Val AUPRC: 0.0345 | Val ROC-AUC: 0.7504
[Seed 5] Epoch 014 | Train Loss: 1.8573 | Val Loss: 1.8655 | Val AUPRC: 0.0347 | Val ROC-AUC: 0.7506
[Seed 5] Epoch 015 | Train Loss: 1.8558 | Val Loss: 1.8672 | Val AUPRC: 0.0343 | Val ROC-AUC: 0.7502
[Seed 5] Epoch 016 | Train Loss: 1.8512 | Val Loss: 1.8639 | Val AUPRC: 0.0344 | Val ROC-AUC: 0.7509
[Seed 5] Epoch 017 | Train Loss: 1.8522 | Val Loss: 1.8697 | Val AUPRC: 0.0345 | Val ROC-AUC: 0.7504
[Seed 5] Epoch 018 | Train Loss: 1.8478 | Val Loss: 1.8643 | Val AUPRC: 0.0346 | Val ROC-AUC: 0.7515
[Seed 5] Epoch 019 | Train Loss: 1.8458 | Val Loss: 1.8685 | Val AUPRC: 0.0344 | Val ROC-AUC: 0.7506
[Seed 5] Epoch 020 | Train Loss: 1.8514 | Val Loss: 1.8624 | Val AUPRC: 0.0347 | Val ROC-AUC: 0.7515
